"","entry_exit_provider_program_type_code","ee_uid","client_id","entry_exit_review_uid","entry_exit_review_point_in_time_type","entry_exit_review_date","entry_exit_review_date_updated"
"1","PH - Permanent Supportive Housing (disability required for entry) (HUD)",591342,304170,37411,"Interim Review","5/1/2016","8/8/2016"
"2","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,38006,"Interim Review","8/8/2016","8/8/2016"
"3","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,38007,"Interim Review","8/8/2016","8/8/2016"
"4","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,75081,"Interim Review","3/5/2018","3/5/2018"
"5","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,78020,"Interim Review","3/29/2018","4/3/2018"
"6","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,81638,"Interim Review","4/30/2018","5/3/2018"
"7","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,75015,"Interim Review","3/5/2018","3/5/2018"
"8","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,95933,"Interim Review","10/24/2018","10/24/2018"
"9","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,97445,"Interim Review","11/15/2018","11/15/2018"
"10","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,101204,"Interim Review","12/6/2018","1/3/2019"
"11","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,101823,"Interim Review","1/10/2019","1/10/2019"
"12","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,104610,"Interim Review","2/13/2019","2/13/2019"
"13","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,104648,"Interim Review","2/13/2019","2/13/2019"
"14","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,56962,"Interim Review","6/1/2017","7/18/2017"
"15","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,64554,"Interim Review","11/1/2017","11/1/2017"
"16","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,65264,"Interim Review","11/14/2017","11/14/2017"
"17","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,65372,"Interim Review","3/1/2017","11/15/2017"
"18","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,75074,"Interim Review","3/5/2018","3/5/2018"
"19","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,75598,"Interim Review","3/7/2018","3/8/2018"
"20","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,79225,"Interim Review","4/12/2018","4/12/2018"
"21","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,81542,"Interim Review","5/2/2018","5/2/2018"
"22","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,85048,"Interim Review","6/1/2018","6/4/2018"
"23","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,89558,"Interim Review","7/23/2018","7/25/2018"
"24","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,90781,"Interim Review","8/9/2018","8/9/2018"
"25","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,92845,"Interim Review","9/13/2018","9/13/2018"
"26","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,95482,"Interim Review","10/18/2018","10/17/2018"
"27","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,64552,"Interim Review","11/1/2017","11/1/2017"
"28","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,65113,"Interim Review","11/7/2017","11/10/2017"
"29","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,75614,"Interim Review","3/2/2018","3/8/2018"
"30","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,79778,"Interim Review","4/11/2018","4/17/2018"
"31","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,81838,"Interim Review","5/3/2018","5/4/2018"
"32","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,85706,"Interim Review","6/11/2018","6/12/2018"
"33","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,89048,"Interim Review","7/13/2018","7/18/2018"
"34","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,90764,"Interim Review","8/1/2018","8/17/2018"
"35","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,91903,"Interim Review","8/29/2018","8/29/2018"
"36","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,92356,"Interim Review","9/4/2018","9/6/2018"
"37","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,95041,"Interim Review","10/12/2018","10/12/2018"
"38","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,96985,"Interim Review","11/7/2018","11/8/2018"
"39","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,103269,"Interim Review","1/29/2019","1/29/2019"
"40","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,103270,"Interim Review","12/29/2018","1/29/2019"
"41","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796386,202961,75076,"Interim Review","3/5/2018","3/5/2018"
"42","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796386,202961,92456,"Interim Review","9/7/2018","9/7/2018"
"43","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796386,202961,94376,"Interim Review","10/4/2018","10/4/2018"
"44","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796386,202961,96925,"Interim Review","11/7/2018","11/7/2018"
"45","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796523,354663,75024,"Interim Review","3/5/2018","3/5/2018"
"46","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796523,354663,76479,"Interim Review","3/19/2018","3/20/2018"
"47","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796523,354663,79313,"Interim Review","4/12/2018","4/13/2018"
"48","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796523,354663,94268,"Interim Review","9/24/2018","10/3/2018"
"49","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,64916,"Interim Review","11/7/2017","11/7/2017"
"50","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,75084,"Interim Review","3/5/2018","3/5/2018"
"51","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,76570,"Interim Review","3/19/2018","3/21/2018"
"52","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,81735,"Interim Review","4/25/2018","5/3/2018"
"53","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,82121,"Interim Review","5/1/2018","5/8/2018"
"54","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,94271,"Interim Review","9/25/2018","10/3/2018"
"55","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,64922,"Interim Review","11/7/2017","11/7/2017"
"56","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,76716,"Interim Review","3/22/2018","3/22/2018"
"57","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,81740,"Interim Review","4/25/2018","5/3/2018"
"58","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,82129,"Interim Review","5/7/2018","5/8/2018"
"59","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,94267,"Interim Review","9/28/2018","10/3/2018"
"60","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,63156,"Interim Review","10/12/2017","10/12/2017"
"61","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,75022,"Interim Review","3/5/2018","3/5/2018"
"62","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,76481,"Interim Review","3/16/2018","3/20/2018"
"63","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,79443,"Interim Review","4/12/2018","4/13/2018"
"64","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,94270,"Interim Review","9/21/2018","10/3/2018"
"65","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,64186,"Interim Review","10/26/2017","10/26/2017"
"66","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,76719,"Interim Review","3/22/2018","3/22/2018"
"67","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,82123,"Interim Review","5/2/2018","5/8/2018"
"68","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,92372,"Interim Review","8/30/2018","9/6/2018"
"69","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,94277,"Interim Review","9/20/2018","10/3/2018"
"70","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,64917,"Interim Review","11/7/2017","11/7/2017"
"71","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,75026,"Interim Review","3/5/2018","3/5/2018"
"72","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,76791,"Interim Review","3/23/2018","3/23/2018"
"73","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,80049,"Interim Review","4/11/2018","4/19/2018"
"74","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,82126,"Interim Review","5/4/2018","5/8/2018"
"75","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,94269,"Interim Review","9/24/2018","10/3/2018"
"76","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,75061,"Interim Review","3/5/2018","3/5/2018"
"77","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,76717,"Interim Review","3/22/2018","3/22/2018"
"78","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,81734,"Interim Review","4/25/2018","5/3/2018"
"79","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,82124,"Interim Review","5/2/2018","5/8/2018"
"80","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,94272,"Interim Review","9/19/2018","10/3/2018"
"81","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,94845,"Interim Review","10/10/2018","10/10/2018"
"82","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796700,311478,75023,"Interim Review","3/5/2018","3/5/2018"
"83","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796700,311478,76048,"Interim Review","3/9/2018","3/14/2018"
"84","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796739,377973,94846,"Interim Review","10/10/2018","10/10/2018"
"85","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796739,377973,97060,"Interim Review","11/9/2018","11/9/2018"
"86","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796739,377973,101782,"Interim Review","1/9/2019","1/9/2019"
"87","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,76050,"Interim Review","3/13/2018","3/14/2018"
"88","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,94379,"Interim Review","10/4/2018","10/4/2018"
"89","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,95939,"Interim Review","10/24/2018","10/24/2018"
"90","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,97249,"Interim Review","11/13/2018","11/13/2018"
"91","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,100449,"Interim Review","12/19/2018","12/19/2018"
"92","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,71186,"Interim Review","1/30/2018","1/30/2018"
"93","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,95746,"Interim Review","10/19/2018","10/19/2018"
"94","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,97064,"Interim Review","11/9/2018","11/9/2018"
"95","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,101639,"Interim Review","1/8/2019","1/8/2019"
"96","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,102456,"Interim Review","1/22/2019","1/22/2019"
"97","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,64553,"Interim Review","11/1/2017","3/14/2018"
"98","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,75610,"Interim Review","3/1/2018","3/14/2018"
"99","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,79206,"Interim Review","4/9/2018","4/12/2018"
"100","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,82796,"Interim Review","5/7/2018","5/14/2018"
"101","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,85816,"Interim Review","6/12/2018","6/13/2018"
"102","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,91092,"Interim Review","8/15/2018","8/17/2018"
"103","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,93015,"Interim Review","9/18/2018","9/18/2018"
"104","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,94108,"Interim Review","10/2/2018","10/2/2018"
"105","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,96603,"Interim Review","11/1/2018","11/2/2018"
"106","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,49478,"Interim Review","11/5/2014","3/20/2017"
"107","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,75083,"Interim Review","3/5/2018","3/5/2018"
"108","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,76056,"Interim Review","3/9/2018","3/14/2018"
"109","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,94390,"Interim Review","10/4/2018","10/4/2018"
"110","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,97062,"Interim Review","11/9/2018","11/9/2018"
"111","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,101634,"Interim Review","12/6/2018","1/8/2019"
"112","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,101790,"Interim Review","1/9/2019","1/9/2019"
"113","PH - Permanent Supportive Housing (disability required for entry) (HUD)",842969,389569,44332,"Interim Review","10/19/2016","1/5/2017"
"114","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,44372,"Interim Review","10/11/2016","1/6/2017"
"115","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,64921,"Interim Review","11/7/2017","11/7/2017"
"116","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,76482,"Interim Review","3/19/2018","3/20/2018"
"117","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,79312,"Interim Review","4/12/2018","4/13/2018"
"118","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,82125,"Interim Review","5/2/2018","5/8/2018"
"119","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,63146,"Interim Review","10/12/2017","10/12/2017"
"120","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,64918,"Interim Review","11/7/2017","11/7/2017"
"121","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,76792,"Interim Review","3/23/2018","3/23/2018"
"122","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,81645,"Interim Review","4/30/2018","5/3/2018"
"123","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,82119,"Interim Review","5/7/2018","5/8/2018"
"124","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,91914,"Interim Review","8/29/2018","8/29/2018"
"125","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,94274,"Interim Review","9/21/2018","10/3/2018"
"126","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,76214,"Interim Review","11/1/2017","3/14/2018"
"127","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,76216,"Interim Review","3/1/2018","3/14/2018"
"128","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,79207,"Interim Review","4/9/2018","4/12/2018"
"129","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,82797,"Interim Review","5/7/2018","5/14/2018"
"130","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,85817,"Interim Review","6/12/2018","6/13/2018"
"131","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,91093,"Interim Review","8/15/2018","8/17/2018"
"132","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,91918,"Interim Review","8/29/2018","8/29/2018"
"133","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,93016,"Interim Review","9/18/2018","9/18/2018"
"134","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,94109,"Interim Review","10/2/2018","10/2/2018"
"135","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,96604,"Interim Review","11/1/2018","11/2/2018"
"136","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,76215,"Interim Review","11/1/2017","3/14/2018"
"137","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,76217,"Interim Review","3/1/2018","3/14/2018"
"138","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,79208,"Interim Review","4/9/2018","4/12/2018"
"139","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,82798,"Interim Review","5/7/2018","5/14/2018"
"140","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,85818,"Interim Review","6/12/2018","6/13/2018"
"141","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,91094,"Interim Review","8/15/2018","8/17/2018"
"142","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,91919,"Interim Review","8/29/2018","8/29/2018"
"143","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,93017,"Interim Review","9/18/2018","9/18/2018"
"144","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,94110,"Interim Review","10/2/2018","10/2/2018"
"145","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,96605,"Interim Review","11/1/2018","11/2/2018"
"146","PH - Permanent Supportive Housing (disability required for entry) (HUD)",1003185,300855,94442,"Interim Review","10/5/2018","10/5/2018"
"147","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913782,463299,75073,"Interim Review","3/5/2018","3/5/2018"
"148","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913782,463299,98730,"Interim Review","10/1/2017","11/28/2018"
"149","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913790,463260,75021,"Interim Review","3/5/2018","3/5/2018"
"150","PH - Permanent Supportive Housing (disability required for entry) (HUD)",913790,463260,98731,"Interim Review","10/1/2017","11/28/2018"
"151","PH - Permanent Supportive Housing (disability required for entry) (HUD)",918343,464753,62491,"Interim Review","10/4/2017","10/4/2017"
"152","PH - Permanent Supportive Housing (disability required for entry) (HUD)",918343,464753,75075,"Interim Review","3/5/2018","3/5/2018"
"153","PH - Permanent Supportive Housing (disability required for entry) (HUD)",918458,418937,63362,"Interim Review","10/13/2017","10/13/2017"
"154","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919177,464997,75078,"Interim Review","3/5/2018","3/5/2018"
"155","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919178,463680,75077,"Interim Review","3/5/2018","3/5/2018"
"156","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919713,463663,62543,"Interim Review","5/30/2017","10/5/2017"
"157","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919713,463663,75016,"Interim Review","3/5/2018","3/5/2018"
"158","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919714,463666,75017,"Interim Review","3/5/2018","3/5/2018"
"159","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919715,463667,75018,"Interim Review","3/5/2018","3/5/2018"
"160","PH - Permanent Supportive Housing (disability required for entry) (HUD)",919716,463678,75019,"Interim Review","3/5/2018","3/5/2018"
"161","PH - Permanent Supportive Housing (disability required for entry) (HUD)",921548,465789,63170,"Interim Review","7/5/2017","10/12/2017"
"162","PH - Permanent Supportive Housing (disability required for entry) (HUD)",925433,467683,75020,"Interim Review","3/5/2018","3/5/2018"
"163","PH - Permanent Supportive Housing (disability required for entry) (HUD)",925433,467683,98426,"Interim Review","10/1/2017","11/27/2018"
"164","PH - Permanent Supportive Housing (disability required for entry) (HUD)",956969,477224,98562,"Interim Review","10/1/2017","11/28/2018"
"165","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959119,477886,98578,"Interim Review","10/1/2017","11/28/2018"
"166","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959126,477894,98619,"Interim Review","10/1/2017","11/28/2018"
"167","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959135,349945,98538,"Interim Review","10/1/2017","11/28/2018"
"168","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959944,478194,98614,"Interim Review","10/1/2017","11/28/2018"
"169","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,43043,"Interim Review","11/9/2016","12/6/2016"
"170","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,63963,"Interim Review","5/9/2017","10/25/2017"
"171","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,66501,"Interim Review","11/2/2017","12/4/2017"
"172","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,100091,"Interim Review","5/9/2018","12/13/2018"
"173","PH - Housing with services (no disability required for entry) (HUD)",783542,414964,100098,"Interim Review","11/9/2018","12/13/2018"
